time of flip	flipper	flip result
11:30:58	Steven	T
11:31:07	Jessica	T
11:31:26	Vuli	H
11:31:42	Reut	H
11:32:03	Pierre	T
11:32:04	Henk	T
11:32:22	Henk	T
11:32:38	Reut	T
11:32:59	Kylen	H
11:33:12	Reut	H
11:33:28	Lindsay	T
11:33:33	Gavin	H
11:33:41	Jessica	T
11:33:55	Amnon	H
11:34:07	Claire	H
11:34:27	Claire	H
11:34:41	Gertrude	H
11:34:44	Kylen	T
11:35:06	Amnon	H
11:35:23	Andrew	H
11:35:44	Kylen	T
11:36:00	Maryann	T
11:36:09	Philip	T
11:36:20	Illana	H
11:36:25	Amnon	T
11:36:44	Henk	T
11:36:59	Henk	T
11:37:01	Megan	H
11:37:08	Reut	H
11:37:26	Amnon	T
11:37:37	Philip	T
11:37:53	Jessica	H
11:38:13	Abe	T
11:38:28	Vuli	T
11:38:41	Gertrude	T
11:38:45	Illana	H
11:39:02	Philip	H
11:39:05	Abe	T
11:39:07	Illana	H
11:39:28	Kylen	T
11:39:31	Illana	T
11:39:44	Pierre	T
11:39:47	Nandi	T
11:40:03	Lindsay	H
11:40:09	Maryann	T
11:40:23	Nandi	T
11:40:29	Nandi	H
11:40:50	Henk	H
11:41:09	Pierre	H
11:41:20	Reut	T
11:41:23	Kylen	T
11:41:31	Maryann	T
11:41:32	Philip	T
11:41:46	Amnon	H
11:41:49	Philip	H
11:41:56	Maryann	H
11:42:07	Nandi	H
11:42:13	Helen	H
11:42:29	Andrew	T
11:42:31	Claire	T
11:42:44	Henk	H
11:42:45	Vuli	T
11:42:56	Andrew	T
11:42:59	Lindsay	H
11:43:01	Amnon	T
11:43:11	Megan	T
11:43:27	Illana	T
11:43:42	Steven	T
11:43:48	Illana	T
11:43:52	Jessica	T
11:43:57	Philip	H
11:44:07	Maryann	H
11:44:09	Gavin	H
11:44:25	Lindsay	H
11:44:44	Gertrude	H
11:45:02	Abe	T
11:45:14	Claire	T
11:45:34	Andrew	H
11:45:42	Amnon	T
11:46:02	Henk	H
11:46:03	Abe	T
11:46:17	Nandi	H
11:46:35	Claire	T
11:46:40	Lindsay	H
11:46:58	Kylen	H
11:47:03	Steven	T
11:47:19	Philip	H
11:47:22	Kylen	T
11:47:41	Kylen	H
11:47:47	Amnon	H
11:48:06	Jessica	H
11:48:24	Gavin	T
11:48:27	Helen	T
11:48:39	Illana	H
11:48:51	Reut	T
11:49:07	Jessica	H
11:49:13	Andrew	T
11:49:24	Megan	T
11:49:28	Amnon	H
11:49:35	Steven	H
11:49:36	Andrew	H
11:49:45	Andrew	H
11:49:51	Reut	H
11:50:01	Philip	T
11:50:14	Abe	T
11:50:24	Steven	H
11:50:31	Vuli	T
11:50:51	Abe	T
11:51:12	Gavin	T
11:51:23	Nandi	T
11:51:31	Amnon	H
11:51:48	Henk	H
11:52:08	Maryann	H
11:52:21	Steven	H
11:52:41	Helen	H
11:52:46	Helen	H
11:53:03	Pierre	H
11:53:07	Gavin	H
11:53:19	Steven	T
11:53:27	Gavin	T
11:53:43	Kylen	H
11:53:55	Maryann	T
11:53:58	Jessica	T
11:54:10	Gavin	H
11:54:14	Vuli	T
11:54:22	Amnon	T
11:54:40	Megan	T
11:54:47	Henk	H
11:54:49	Claire	H
11:55:07	Lindsay	T
11:55:15	Amnon	H
11:55:37	Reut	H
11:55:51	Steven	H
11:56:12	Henk	T
11:56:19	Steven	H
11:56:25	Henk	T
11:56:39	Pierre	T
11:56:45	Kylen	H
11:56:46	Jessica	T
11:56:55	Andrew	H
11:57:16	Pierre	T
11:57:20	Pierre	H
11:57:28	Steven	H
11:57:39	Illana	H
11:57:47	Gertrude	T
11:57:51	Megan	H
11:57:57	Kylen	T
11:58:11	Abe	H
11:58:27	Reut	T
11:58:35	Steven	H
11:58:49	Jessica	H
11:58:51	Gavin	T
11:59:11	Kylen	T
11:59:28	Illana	H
11:59:32	Vuli	T
11:59:52	Nandi	H
12:00:10	Reut	H
12:00:24	Pierre	T
12:00:39	Megan	T
12:00:45	Gertrude	T
12:01:01	Lindsay	H
12:01:12	Illana	H
12:01:28	Gavin	T
12:01:42	Reut	T
12:01:53	Reut	H
12:02:12	Steven	H
12:02:30	Henk	H
12:02:39	Pierre	H
12:02:50	Jessica	H
12:02:55	Nandi	T
12:03:05	Reut	T
12:03:11	Megan	T
12:03:27	Andrew	H
12:03:44	Pierre	T
12:04:01	Lindsay	H
12:04:06	Andrew	T
12:04:20	Amnon	H
12:04:39	Helen	T
12:04:40	Henk	H
12:04:56	Philip	T
12:05:04	Lindsay	H
12:05:20	Pierre	H
12:05:37	Abe	T
12:05:39	Jessica	T
12:05:43	Abe	H
12:06:02	Maryann	T
12:06:06	Nandi	H
12:06:22	Vuli	H
12:06:27	Steven	H
12:06:38	Andrew	H
12:06:43	Claire	H
12:06:58	Andrew	H
12:07:12	Nandi	H
12:07:14	Maryann	T
12:07:21	Kylen	T
12:07:33	Kylen	H
12:07:54	Vuli	T
12:07:55	Jessica	T
12:08:04	Reut	H
12:08:25	Vuli	T
12:08:45	Claire	H
12:09:05	Claire	T
12:09:06	Claire	H
12:09:21	Gertrude	T
12:09:25	Reut	H
12:09:38	Kylen	T
12:09:49	Illana	T
12:09:54	Pierre	T
12:10:13	Abe	H
12:10:30	Claire	T
12:10:37	Steven	H
12:10:45	Helen	T
12:11:02	Abe	H
12:11:09	Pierre	T
12:11:19	Andrew	T
12:11:33	Reut	T
12:11:48	Henk	T
12:11:53	Claire	H
12:12:12	Illana	T
12:12:21	Henk	T
12:12:43	Pierre	T
12:12:52	Steven	H
12:13:09	Reut	H
12:13:20	Amnon	H
12:13:34	Illana	H
12:13:38	Illana	H
12:13:39	Kylen	T
12:13:44	Abe	H
12:14:01	Abe	H
12:14:18	Illana	T
12:14:38	Kylen	T
12:14:45	Nandi	H
12:15:05	Maryann	H
12:15:09	Amnon	H
12:15:18	Megan	T
12:15:32	Maryann	H
12:15:49	Claire	H
12:15:56	Jessica	T
12:16:06	Gertrude	H
12:16:11	Illana	T
12:16:30	Nandi	H
12:16:46	Nandi	H
12:16:58	Illana	T
12:17:17	Gavin	T
12:17:38	Vuli	T
12:17:39	Megan	T
12:17:59	Claire	H
12:18:20	Helen	T
12:18:22	Gavin	H
12:18:26	Megan	H
12:18:47	Gertrude	T
12:19:08	Megan	H
12:19:10	Maryann	T
12:19:30	Kylen	T
12:19:37	Vuli	T
12:19:46	Jessica	T
12:19:54	Pierre	T
12:19:55	Nandi	H
12:20:05	Andrew	H
12:20:15	Gavin	T
12:20:36	Claire	H
12:20:47	Vuli	H
12:20:57	Pierre	H
12:20:59	Nandi	H
12:21:07	Gertrude	H
12:21:11	Amnon	H
12:21:26	Claire	T
12:21:27	Jessica	T
12:21:38	Henk	T
12:21:46	Gertrude	T
12:21:47	Amnon	H
12:22:04	Gertrude	H
12:22:08	Amnon	T
12:22:19	Lindsay	T
12:22:20	Vuli	T
12:22:27	Philip	T
12:22:31	Henk	T
12:22:36	Reut	H
12:22:55	Gavin	H
12:23:04	Henk	H
12:23:08	Andrew	T
12:23:12	Illana	H
12:23:26	Kylen	T
12:23:47	Jessica	T
12:24:04	Abe	H
12:24:12	Philip	T
12:24:27	Gavin	H
12:24:30	Illana	T
12:24:31	Helen	H
12:24:39	Illana	H
12:24:57	Gavin	T
12:25:17	Lindsay	T
12:25:26	Gertrude	T
12:25:34	Kylen	T
12:25:41	Gavin	T
12:25:49	Illana	T
12:25:56	Claire	T
12:26:00	Helen	T
12:26:21	Gavin	T
12:26:26	Gavin	H
12:26:47	Reut	H
12:26:48	Gertrude	H
12:27:06	Reut	T
12:27:25	Jessica	T
12:27:36	Gertrude	H
12:27:46	Gavin	H
12:28:00	Henk	H
12:28:09	Reut	T
12:28:18	Gavin	H
12:28:38	Megan	H
12:28:41	Amnon	H
12:28:51	Maryann	T
12:28:52	Philip	T
12:28:58	Reut	T
12:29:19	Steven	H
12:29:25	Gertrude	H
12:29:38	Helen	T
12:29:46	Abe	T
12:30:03	Nandi	H
12:30:22	Illana	H
12:30:28	Andrew	T
12:30:45	Gertrude	H
12:30:48	Lindsay	T
12:30:54	Lindsay	T
12:31:01	Helen	H
12:31:13	Nandi	T
12:31:15	Kylen	H
12:31:36	Megan	H
12:31:46	Philip	H
12:31:50	Reut	T
12:32:11	Claire	H
12:32:15	Jessica	H
12:32:26	Maryann	H
12:32:43	Reut	T
12:33:00	Nandi	T
12:33:17	Andrew	T
12:33:29	Lindsay	H
12:33:50	Jessica	H
12:33:59	Reut	H
12:34:14	Gavin	H
12:34:35	Jessica	T
12:34:36	Vuli	T
12:34:51	Gavin	H
12:35:02	Vuli	H
12:35:15	Claire	H
12:35:17	Gertrude	H
12:35:19	Jessica	T
12:35:38	Andrew	H
12:35:49	Abe	H
12:36:09	Kylen	T
12:36:21	Gavin	T
12:36:38	Lindsay	H
12:36:41	Maryann	T
12:37:01	Helen	H
12:37:11	Andrew	H
12:37:12	Henk	T
12:37:30	Illana	H
12:37:37	Gertrude	T
12:37:42	Kylen	T
12:37:46	Philip	T
12:37:59	Maryann	H
12:38:02	Steven	H
12:38:06	Gavin	H
12:38:11	Megan	T
12:38:13	Pierre	H
12:38:21	Andrew	T
12:38:27	Philip	T
12:38:46	Lindsay	T
12:39:01	Henk	T
12:39:20	Maryann	H
12:39:25	Andrew	H
12:39:43	Gavin	T
12:39:58	Andrew	H
12:40:11	Claire	T
12:40:18	Abe	T
12:40:22	Claire	T
12:40:34	Nandi	H
12:40:39	Steven	T
12:40:46	Vuli	T
12:40:50	Pierre	T
12:40:51	Vuli	T
12:40:54	Gavin	H
12:41:14	Steven	T
12:41:32	Reut	H
12:41:36	Gavin	H
12:41:40	Helen	T
12:41:50	Gavin	T
12:41:55	Amnon	T
12:42:12	Kylen	H
12:42:18	Philip	H
12:42:22	Claire	T
12:42:31	Henk	H
12:42:37	Reut	T
12:42:56	Lindsay	T
12:43:16	Nandi	T
12:43:35	Helen	T
12:43:36	Illana	H
12:43:46	Gavin	H
12:44:02	Kylen	T
12:44:04	Maryann	H
12:44:15	Claire	H
12:44:27	Kylen	T
12:44:43	Megan	H
12:44:49	Reut	T
12:45:00	Maryann	T
12:45:15	Amnon	T
12:45:17	Megan	T
12:45:23	Reut	T
12:45:26	Gavin	H
12:45:44	Lindsay	T
12:45:57	Pierre	H
12:46:17	Steven	T
12:46:36	Kylen	H
12:46:39	Amnon	T
12:46:40	Gertrude	T
12:46:47	Abe	T
12:47:00	Kylen	H
12:47:14	Pierre	H
12:47:17	Henk	H
12:47:32	Helen	T
12:47:38	Lindsay	H
12:47:54	Kylen	H
12:48:10	Maryann	T
12:48:23	Abe	H
12:48:26	Lindsay	T
12:48:29	Pierre	T
12:48:31	Reut	H
12:48:33	Abe	T
12:48:49	Henk	H
12:48:50	Helen	T
12:49:02	Pierre	T
12:49:07	Megan	H
12:49:27	Vuli	T
12:49:42	Henk	T
12:49:47	Illana	H
12:50:05	Steven	H
12:50:19	Steven	T
12:50:28	Megan	T
12:50:33	Andrew	T
12:50:54	Steven	T
12:51:13	Megan	H
12:51:25	Andrew	T
12:51:39	Vuli	T
12:51:55	Andrew	H
12:52:16	Henk	H
12:52:19	Lindsay	H
12:52:29	Gavin	T
12:52:46	Kylen	H
12:52:48	Helen	H
12:53:05	Reut	H
12:53:18	Jessica	T
12:53:20	Abe	T
12:53:35	Philip	T
12:53:49	Abe	T
12:53:58	Megan	H
12:54:08	Pierre	T
12:54:19	Megan	H
12:54:37	Steven	T
12:54:46	Philip	H
12:54:47	Claire	T
12:54:52	Vuli	H
12:55:09	Gavin	T
12:55:16	Kylen	T
12:55:27	Gertrude	H
12:55:42	Lindsay	T
12:55:47	Gertrude	H
12:56:07	Pierre	T
12:56:22	Andrew	H
12:56:40	Gavin	H
12:56:43	Henk	T
12:56:46	Andrew	T
12:56:47	Illana	T
12:56:53	Reut	H
12:57:11	Maryann	H
12:57:17	Steven	H
12:57:29	Kylen	T
12:57:50	Henk	T
12:58:02	Lindsay	H
12:58:13	Amnon	T
12:58:17	Claire	H
12:58:29	Pierre	T
12:58:41	Henk	T
12:58:54	Lindsay	H
12:59:11	Megan	T
12:59:12	Gavin	H
12:59:24	Jessica	H
12:59:29	Philip	H
12:59:38	Steven	H
12:59:44	Maryann	T
12:59:59	Kylen	H
13:00:20	Vuli	H
13:00:34	Claire	H
13:00:53	Gertrude	H
13:01:02	Vuli	H
13:01:15	Abe	T
13:01:21	Amnon	T
13:01:43	Lindsay	H
13:01:56	Philip	T
13:02:11	Philip	H
13:02:18	Pierre	T
13:02:39	Andrew	H
13:02:46	Megan	T
13:03:02	Megan	T
13:03:13	Maryann	T
13:03:23	Pierre	H
13:03:28	Gavin	T
13:03:41	Megan	T
13:04:00	Henk	H
13:04:07	Maryann	H
13:04:25	Jessica	T
13:04:29	Philip	T
13:04:48	Gertrude	T
13:05:09	Vuli	H
13:05:14	Lindsay	H
13:05:15	Lindsay	H
13:05:33	Henk	H
13:05:54	Steven	H
13:06:11	Pierre	H
13:06:15	Gertrude	H
13:06:29	Lindsay	T
13:06:30	Andrew	H
13:06:33	Helen	T
13:06:54	Claire	H
13:07:02	Philip	H
13:07:03	Reut	H
13:07:12	Lindsay	T
13:07:31	Maryann	H
13:07:38	Gertrude	T
13:07:51	Claire	H
13:08:04	Lindsay	H
13:08:06	Reut	T
13:08:24	Vuli	H
13:08:43	Claire	T
13:08:53	Reut	H
13:09:14	Helen	H
13:09:18	Pierre	H
13:09:23	Henk	H
13:09:33	Lindsay	H
13:09:45	Helen	H
13:09:54	Megan	H
13:09:56	Kylen	T
13:09:57	Henk	H
13:09:58	Helen	H
13:10:10	Lindsay	T
13:10:22	Gavin	T
13:10:27	Lindsay	T
13:10:35	Steven	T
13:10:48	Helen	T
13:10:52	Lindsay	H
13:10:56	Megan	H
13:11:03	Maryann	H
13:11:21	Pierre	T
13:11:25	Kylen	H
13:11:35	Gertrude	H
13:11:50	Nandi	H
13:11:57	Gertrude	T
13:12:16	Megan	H
13:12:31	Claire	T
13:12:45	Megan	H
13:12:53	Philip	T
13:13:08	Helen	T
13:13:18	Henk	T
13:13:25	Megan	H
13:13:38	Reut	H
13:13:41	Gertrude	T
13:13:52	Amnon	H
13:14:00	Nandi	H
13:14:13	Claire	H
13:14:25	Vuli	T
13:14:47	Helen	T
13:15:01	Andrew	H
13:15:06	Lindsay	T
13:15:14	Jessica	H
13:15:16	Philip	T
13:15:21	Abe	T
13:15:34	Jessica	H
13:15:56	Amnon	T
13:16:04	Maryann	T
13:16:07	Amnon	T
13:16:16	Claire	T
13:16:25	Abe	H
13:16:34	Abe	H
13:16:38	Steven	T
13:16:45	Abe	H
13:16:55	Gavin	H
13:17:15	Andrew	T
13:17:29	Illana	H
13:17:33	Jessica	T
13:17:50	Steven	T
13:17:55	Amnon	T
13:18:12	Vuli	T
13:18:28	Nandi	H
13:18:43	Abe	T
13:18:47	Pierre	H
13:18:49	Claire	H
13:19:06	Gavin	T
13:19:27	Steven	H
13:19:30	Kylen	T
13:19:48	Claire	H
13:19:52	Jessica	H
13:20:00	Steven	T
13:20:19	Jessica	T
13:20:30	Philip	H
13:20:51	Nandi	H
13:20:57	Abe	H
13:21:06	Helen	T
13:21:19	Kylen	T
13:21:23	Helen	T
13:21:43	Henk	T
13:21:54	Pierre	H
13:21:57	Philip	H
13:22:03	Gertrude	T
13:22:13	Lindsay	H
13:22:19	Lindsay	T
13:22:31	Kylen	H
13:22:46	Steven	T
13:22:53	Nandi	H
13:22:55	Philip	T
13:22:57	Amnon	H
13:23:18	Lindsay	H
13:23:34	Henk	T
13:23:38	Gertrude	H
13:23:42	Jessica	T
13:23:49	Nandi	T
13:23:53	Vuli	H
13:24:07	Helen	H
13:24:17	Gertrude	H
13:24:35	Kylen	T
13:24:44	Philip	T
13:25:03	Henk	H
13:25:14	Vuli	T
13:25:19	Abe	H
13:25:32	Andrew	T
13:25:39	Steven	T
13:25:48	Steven	T
13:25:59	Steven	H
13:26:06	Jessica	T
13:26:27	Steven	T
13:26:40	Megan	T
13:26:44	Maryann	H
13:26:56	Maryann	H
13:27:16	Vuli	H
13:27:35	Henk	H
13:27:43	Nandi	H
13:27:45	Abe	H
13:27:48	Jessica	H
13:28:08	Kylen	H
13:28:29	Philip	H
13:28:50	Henk	T
13:29:02	Nandi	H
13:29:08	Kylen	T
13:29:14	Pierre	T
13:29:33	Vuli	H
13:29:46	Andrew	T
13:29:47	Gertrude	H
13:29:51	Maryann	T
13:30:11	Abe	H
13:30:25	Maryann	T
13:30:32	Pierre	T
13:30:50	Maryann	H
13:30:51	Pierre	H
13:31:10	Reut	T
13:31:17	Abe	T
13:31:35	Helen	H
13:31:56	Amnon	T
13:32:16	Jessica	T
13:32:27	Amnon	T
13:32:43	Vuli	T
13:32:56	Pierre	H
13:33:02	Philip	H
13:33:07	Philip	T
13:33:14	Kylen	T
13:33:19	Gavin	H
13:33:38	Amnon	T
13:33:39	Steven	T
13:33:58	Helen	T
13:34:19	Steven	H
13:34:36	Vuli	T
13:34:46	Kylen	T
13:35:05	Nandi	T
13:35:06	Amnon	T
13:35:18	Illana	T
13:35:22	Reut	H
13:35:30	Jessica	H
13:35:37	Nandi	T
13:35:55	Andrew	T
13:36:05	Philip	H
13:36:14	Megan	H
13:36:35	Megan	T
13:36:48	Gavin	H
13:37:07	Kylen	T
13:37:27	Maryann	T
13:37:40	Helen	T
13:37:53	Gavin	H
13:38:13	Helen	T
13:38:15	Abe	H
13:38:16	Philip	H
13:38:23	Lindsay	T
13:38:31	Kylen	T
13:38:34	Gavin	T
13:38:51	Pierre	H
13:39:06	Reut	H
13:39:11	Gavin	T
13:39:23	Gertrude	T
13:39:35	Megan	H
13:39:45	Illana	T
13:39:56	Lindsay	T
13:40:12	Kylen	H
13:40:25	Philip	T
13:40:34	Gavin	H
13:40:38	Philip	T
13:40:42	Philip	H
13:40:57	Abe	H
13:41:05	Philip	H
13:41:08	Illana	T
13:41:24	Kylen	H
13:41:32	Andrew	T
13:41:51	Kylen	H
13:42:11	Philip	T
13:42:25	Helen	H
13:42:37	Megan	H
13:42:51	Maryann	T
13:43:01	Henk	T
13:43:13	Helen	T
13:43:20	Claire	H
13:43:40	Henk	H
13:43:50	Gertrude	H
13:44:01	Lindsay	H
13:44:03	Pierre	T
13:44:16	Illana	T
13:44:17	Gavin	T
13:44:29	Megan	H
13:44:42	Gertrude	T
13:44:47	Kylen	T
13:44:51	Vuli	H
13:44:57	Gertrude	H
13:45:09	Gavin	T
13:45:20	Lindsay	T
13:45:21	Jessica	H
13:45:26	Steven	H
13:45:39	Nandi	T
13:45:54	Megan	T
13:46:11	Henk	T
13:46:15	Vuli	H
13:46:29	Gavin	H
13:46:35	Kylen	T
13:46:49	Maryann	T
13:47:02	Lindsay	H
13:47:13	Henk	T
13:47:19	Abe	T
13:47:37	Illana	T
13:47:47	Gavin	H
13:48:08	Jessica	T
13:48:17	Vuli	H
13:48:36	Henk	H
13:48:43	Pierre	H
13:48:55	Gertrude	T
13:49:16	Kylen	H
13:49:29	Helen	H
13:49:39	Gertrude	H
13:49:51	Lindsay	H
13:49:59	Abe	H
13:50:05	Reut	H
13:50:16	Reut	T
13:50:22	Jessica	T
13:50:23	Amnon	T
13:50:39	Nandi	T
13:50:46	Maryann	T
13:50:51	Lindsay	T
13:51:11	Vuli	T
13:51:31	Lindsay	T
13:51:52	Lindsay	T
13:51:54	Claire	H
13:52:07	Henk	H
13:52:18	Jessica	H
13:52:38	Gertrude	H
13:52:57	Vuli	H
13:53:10	Megan	H
13:53:30	Lindsay	H
13:53:46	Abe	T
13:53:47	Amnon	H
13:54:00	Megan	T
13:54:21	Andrew	H
13:54:35	Lindsay	T
13:54:44	Steven	T
13:55:02	Gertrude	T
13:55:22	Maryann	T
13:55:41	Nandi	H
13:55:49	Maryann	T
13:55:52	Kylen	T
13:55:53	Maryann	H
13:56:02	Henk	T
13:56:09	Abe	T
13:56:28	Reut	H
13:56:33	Reut	H
13:56:54	Henk	T
13:57:10	Pierre	H
13:57:11	Jessica	H
13:57:12	Kylen	H
13:57:28	Gertrude	T
13:57:44	Megan	H
13:58:02	Illana	T
13:58:14	Helen	H
13:58:15	Jessica	T
13:58:25	Claire	H
13:58:41	Lindsay	H
13:58:51	Maryann	T
13:59:08	Reut	H
13:59:09	Kylen	H
13:59:25	Philip	H
13:59:29	Abe	H
13:59:37	Lindsay	T
13:59:43	Maryann	T
13:59:59	Abe	T
14:00:08	Nandi	H
14:00:17	Henk	H
14:00:27	Kylen	T
14:00:30	Lindsay	H
14:00:32	Steven	T
14:00:41	Jessica	T
14:00:48	Nandi	T
14:00:54	Pierre	H
14:01:00	Reut	H
14:01:01	Pierre	T
14:01:05	Andrew	T
14:01:19	Illana	T
14:01:20	Lindsay	T
14:01:21	Jessica	H
14:01:35	Claire	H
14:01:39	Megan	T
14:01:41	Kylen	H
14:01:58	Andrew	H
14:02:05	Claire	T
14:02:14	Amnon	T
14:02:22	Maryann	T
14:02:42	Pierre	T
14:02:51	Reut	T
14:03:05	Jessica	T
14:03:20	Abe	T
14:03:40	Philip	H
14:03:55	Philip	H
14:04:04	Vuli	H
14:04:06	Lindsay	H
14:04:13	Gertrude	H
14:04:30	Lindsay	H
14:04:32	Philip	H
14:04:51	Gavin	T
14:05:04	Helen	H
14:05:17	Steven	T
14:05:23	Steven	H
14:05:33	Henk	T
14:05:55	Andrew	H
14:06:13	Amnon	H
14:06:17	Lindsay	H
14:06:33	Abe	T
14:06:38	Amnon	T
14:06:47	Illana	T
14:06:54	Nandi	T
14:07:05	Gertrude	H
14:07:09	Pierre	T
14:07:13	Maryann	H
14:07:14	Jessica	T
14:07:34	Gertrude	T
14:07:42	Steven	H
14:07:44	Steven	H
14:08:00	Pierre	H
14:08:08	Gavin	H
14:08:17	Gavin	T
14:08:38	Gavin	T
14:08:52	Maryann	H
14:09:01	Andrew	T
14:09:12	Gertrude	H
14:09:23	Henk	H
14:09:31	Maryann	H
14:09:32	Philip	H
14:09:33	Helen	T
14:09:38	Claire	H
14:09:40	Henk	H
14:09:41	Henk	H
14:09:58	Gertrude	T
14:10:16	Abe	T
14:10:21	Philip	T
14:10:33	Steven	H
14:10:44	Nandi	T
14:10:52	Helen	H
14:10:57	Vuli	H
14:11:14	Lindsay	T
14:11:32	Henk	H
14:11:42	Megan	H
14:11:50	Philip	T
14:12:04	Gertrude	T
14:12:09	Helen	H
14:12:16	Gertrude	H
14:12:27	Megan	H
14:12:29	Gavin	T
14:12:44	Jessica	H
14:13:04	Andrew	H
14:13:06	Steven	H
14:13:15	Lindsay	T
14:13:32	Reut	H
14:13:44	Andrew	T
14:14:03	Nandi	H
14:14:12	Gavin	T
14:14:13	Illana	T
14:14:30	Pierre	T
14:14:38	Andrew	T
14:14:45	Kylen	H
14:15:01	Pierre	H
14:15:06	Kylen	H
14:15:22	Andrew	H
14:15:31	Henk	T
14:15:32	Megan	H
14:15:33	Illana	H
14:15:34	Maryann	T
14:15:42	Pierre	T
14:15:47	Claire	T
14:16:02	Illana	T
14:16:22	Reut	H
14:16:24	Jessica	H
14:16:33	Steven	T
14:16:37	Philip	T
14:16:43	Claire	H
14:16:52	Helen	T
14:17:10	Abe	H
14:17:12	Nandi	T
14:17:26	Megan	H
14:17:38	Philip	H
14:17:54	Henk	H
14:18:06	Steven	T
14:18:08	Gertrude	T
14:18:10	Amnon	H
14:18:11	Claire	T
14:18:13	Reut	T
14:18:33	Nandi	T
14:18:34	Maryann	H
14:18:52	Kylen	H
14:19:05	Gavin	H
14:19:22	Lindsay	H
14:19:32	Illana	T
14:19:42	Reut	T
14:19:43	Lindsay	T
14:19:56	Vuli	H
14:20:04	Maryann	T
14:20:25	Philip	T
14:20:26	Amnon	H
14:20:35	Henk	H
14:20:52	Abe	T
14:21:10	Gertrude	H
14:21:22	Jessica	H
14:21:31	Vuli	H
14:21:44	Claire	H
14:21:48	Henk	H
14:21:49	Philip	H
14:22:06	Abe	H
14:22:08	Gavin	T
14:22:22	Abe	H
14:22:23	Jessica	T
14:22:27	Amnon	H
14:22:34	Lindsay	T
14:22:39	Abe	H
14:22:56	Vuli	H
14:22:58	Illana	H
14:22:59	Megan	T
14:23:10	Helen	T
14:23:26	Steven	H
14:23:34	Henk	T
14:23:45	Philip	H
14:23:58	Philip	H
14:24:17	Gertrude	H
14:24:38	Pierre	T
14:24:44	Gavin	H
14:24:48	Abe	H
14:25:01	Lindsay	H
14:25:19	Helen	H
14:25:39	Henk	T
14:25:43	Vuli	T
14:26:02	Kylen	H
14:26:18	Philip	H
14:26:27	Andrew	T
14:26:28	Nandi	T
14:26:39	Jessica	H
14:26:59	Abe	H
14:27:09	Jessica	T
14:27:30	Jessica	T
14:27:41	Pierre	T
14:27:45	Gavin	H
14:27:59	Andrew	T
14:28:03	Henk	H
14:28:12	Megan	T
14:28:22	Amnon	T
14:28:25	Megan	H
14:28:31	Nandi	T
14:28:41	Claire	H
14:28:54	Gavin	T
14:29:01	Philip	H
14:29:10	Gertrude	H
14:29:20	Helen	H
14:29:31	Kylen	T
14:29:49	Helen	H
14:30:02	Pierre	H
14:30:11	Abe	T
14:30:19	Pierre	T
14:30:24	Megan	T
14:30:33	Illana	T
14:30:35	Maryann	T
14:30:55	Henk	T
14:31:03	Maryann	T
14:31:11	Helen	H
14:31:31	Gavin	H
14:31:40	Abe	T
14:31:50	Megan	H
14:32:03	Steven	T
14:32:12	Lindsay	T
14:32:33	Claire	T
14:32:35	Helen	H
14:32:44	Maryann	H
14:32:45	Gertrude	T
14:32:48	Maryann	T
14:33:08	Pierre	T
14:33:09	Steven	T
14:33:14	Kylen	T
14:33:31	Gavin	H
14:33:38	Claire	T
14:33:45	Claire	H
14:33:54	Steven	H
14:34:14	Jessica	T
14:34:28	Gavin	H
14:34:33	Maryann	T
14:34:34	Andrew	H
14:34:37	Jessica	H
14:34:55	Illana	H
14:35:08	Gertrude	T
14:35:12	Maryann	H
14:35:21	Henk	T
14:35:37	Abe	H
14:35:52	Pierre	T
14:36:10	Claire	H
14:36:32	Andrew	T
14:36:33	Pierre	H
14:36:42	Megan	T
14:37:02	Steven	T
14:37:20	Steven	T
14:37:30	Nandi	H
14:37:32	Lindsay	H
14:37:33	Andrew	T
14:37:45	Jessica	H
14:37:59	Kylen	T
14:38:04	Kylen	T
14:38:07	Illana	T
14:38:09	Steven	H
14:38:22	Illana	H
14:38:43	Lindsay	H
14:38:59	Kylen	H
14:39:18	Abe	H
14:39:34	Andrew	H
14:39:54	Claire	T
14:40:03	Steven	T
14:40:22	Pierre	T
14:40:33	Helen	T
14:40:45	Nandi	T
14:40:53	Megan	H
14:40:58	Steven	T
14:41:01	Abe	H
14:41:11	Philip	T
14:41:13	Steven	T
14:41:18	Philip	T
14:41:29	Gertrude	T
14:41:39	Amnon	T
14:41:44	Vuli	H
14:41:57	Claire	H
14:42:11	Claire	T
14:42:15	Claire	T
14:42:35	Maryann	H
14:42:37	Gertrude	H
14:42:48	Lindsay	T
14:42:56	Pierre	H
14:43:00	Helen	H
14:43:20	Maryann	H
14:43:31	Steven	T
14:43:52	Vuli	H
14:44:03	Gertrude	H
14:44:05	Maryann	T
14:44:22	Reut	T
14:44:38	Helen	H
14:44:51	Illana	H
14:44:53	Gavin	T
14:44:57	Abe	T
14:45:06	Vuli	T
14:45:24	Philip	T
14:45:26	Jessica	T
14:45:42	Maryann	T
14:46:04	Megan	H
14:46:11	Vuli	H
14:46:12	Nandi	H
14:46:28	Reut	T
14:46:42	Philip	H
14:46:43	Helen	H
14:46:49	Gavin	H
14:46:53	Andrew	H
14:47:05	Jessica	T
14:47:19	Gertrude	H
14:47:34	Gertrude	H
14:47:49	Gavin	H
14:47:51	Nandi	H
